run_id,participant,trialN,stimId,stimType,stimFile,response,rt,confidence,conf_rt
20260225_134622,Seth 2026,0,sham_3,sham,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_134622\PHASED_Preparation\WAV_COMP\20260225_134622_sham_3_COMP.wav,n,3.0466950999980327,5,2.6078353000048082
20260225_134622,Seth 2026,1,stim_5,stim,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_134622\PHASED_Preparation\WAV_COMP\20260225_134622_stim_5_COMP.wav,n,0.32482760000857525,5,0.47193940001307055
20260225_134622,Seth 2026,2,stim_4,stim,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_134622\PHASED_Preparation\WAV_COMP\20260225_134622_stim_4_COMP.wav,n,0.1966608000220731,5,0.8798249999817926
20260225_134622,Seth 2026,3,stim_3,stim,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_134622\PHASED_Preparation\WAV_COMP\20260225_134622_stim_3_COMP.wav,y,0.4573755000019446,5,0.43191169999772683
20260225_134622,Seth 2026,4,stim_2,stim,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_134622\PHASED_Preparation\WAV_COMP\20260225_134622_stim_2_COMP.wav,y,0.2698276999872178,5,0.3760040999914054
20260225_134622,Seth 2026,5,sham_1,sham,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_134622\PHASED_Preparation\WAV_COMP\20260225_134622_sham_1_COMP.wav,n,0.347987799992552,5,0.2558883000165224
20260225_134622,Seth 2026,6,sham_2,sham,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_134622\PHASED_Preparation\WAV_COMP\20260225_134622_sham_2_COMP.wav,n,0.8118941000138875,5,0.30386499999440275
20260225_134622,Seth 2026,7,stim_1,stim,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_134622\PHASED_Preparation\WAV_COMP\20260225_134622_stim_1_COMP.wav,y,0.08720859998720698,5,0.3919539999915287
20260225_134622,Seth 2026,mel_0,melody_1,melody,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_134622\PHASED_Preparation\WAV_COMP\20260225_134622_melody_1_COMP.wav,5,3.653254000004381,5,2.183893799985526
20260225_134622,Seth 2026,mel_1,melody_2,melody,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_134622\PHASED_Preparation\WAV_COMP\20260225_134622_melody_2_COMP.wav,6,2.433972200000426,5,2.375841400003992
